drug	target	IC50	Ki	phase
CHEMBL100259	CHEMBL1997	52000.0	51000.0	3
CHEMBL100259	CHEMBL3509606	234000.0	242000.0	3
CHEMBL100259	CHEMBL5551	5800.0	5200.0	3
CHEMBL100259	CHEMBL5707	5400.0	3400.0	3
CHEMBL100259	CHEMBL5780	32000.0	31000.0	3
CHEMBL1003	CHEMBL6020	1000000.0		4
CHEMBL1006	CHEMBL234	1929.0	655.0	4
CHEMBL1009	CHEMBL1743128	133000.0		4
CHEMBL1009	CHEMBL1841	2146.0		4
CHEMBL1009	CHEMBL1973	8400000.0		4
CHEMBL1009	CHEMBL203	900000.0		4
CHEMBL1009	CHEMBL258	3729.0		4
CHEMBL1009	CHEMBL4459	100000.0		4
CHEMBL1009	CHEMBL4605	141200000.0		4
CHEMBL1009	CHEMBL5748	133000.0		4
CHEMBL1009	CHEMBL5918	133000.0		4
CHEMBL1009	CHEMBL6020	133000.0		4
CHEMBL101	CHEMBL206	50000.0		4
CHEMBL101	CHEMBL221	3000.0		4
CHEMBL101	CHEMBL230	284000.0		4
CHEMBL1010	CHEMBL1743128	24000.0		4
CHEMBL1010	CHEMBL5748	133000.0		4
CHEMBL1010	CHEMBL5918	133000.0		4
CHEMBL1010	CHEMBL6020	133000.0		4
CHEMBL101253	CHEMBL1868	380.0	158.49	3
CHEMBL101253	CHEMBL1913	490.0	79.43	3
CHEMBL101253	CHEMBL1936	730.0	39.81	3
CHEMBL101253	CHEMBL1955	195.0	316.23	3
CHEMBL101253	CHEMBL1957	10000.0	1995.26	3
CHEMBL101253	CHEMBL203	10000.0	1995.26	3
CHEMBL101253	CHEMBL267	10000.0	5011.87	3
CHEMBL101253	CHEMBL279	6754.0	12.59	3
CHEMBL101253	CHEMBL308	10000.0	7943.28	3
CHEMBL101253	CHEMBL3717	10000.0	2511.89	3
CHEMBL101253	CHEMBL6020	10000.0		3
CHEMBL1014	CHEMBL1697668	724.44	400.0	4
CHEMBL1014	CHEMBL1743121	2454.71	1900.0	4
CHEMBL1014	CHEMBL5365	9200.0		4
CHEMBL1014	CHEMBL5391	6200.0		4
CHEMBL1014	CHEMBL5542	11200.0		4
CHEMBL1016	CHEMBL1824	5947.2		3
CHEMBL1016	CHEMBL1835	3059.4		3
CHEMBL1016	CHEMBL1942	3843.0	1754.4	3
CHEMBL1016	CHEMBL203	3276.9		3
CHEMBL1016	CHEMBL222	3065.2	3039.8	3
CHEMBL1016	CHEMBL227	110.0	10.4	3
CHEMBL1016	CHEMBL246	4300.0	3200.0	3
CHEMBL1016	CHEMBL256	1219.9	689.5	3
CHEMBL1016	CHEMBL3397	3000.0		3
CHEMBL1016	CHEMBL340	9000.0		3
CHEMBL1016	CHEMBL4295835	100000.0		3
CHEMBL1017	CHEMBL1697668	1862.09	1030.0	4
CHEMBL1017	CHEMBL1743121	1258.93	960.0	4
CHEMBL1017	CHEMBL1743126	17900.0		4
CHEMBL1017	CHEMBL1743128	36000.0		4
CHEMBL1017	CHEMBL227	150.0		4
CHEMBL1017	CHEMBL235	12200.0		4
CHEMBL1017	CHEMBL239	10000.0		4
CHEMBL1017	CHEMBL289	50000.0		4
CHEMBL1017	CHEMBL3356	50000.0		4
CHEMBL1017	CHEMBL3397	4780.0		4
CHEMBL1017	CHEMBL340	50000.0		4
CHEMBL1017	CHEMBL3491	540.0	190.0	4
