drug	target	IC50	Ki	phase
CHEMBL1006	CHEMBL234	1929.0	655.0	4
CHEMBL1009	CHEMBL1841	2146.0		4
CHEMBL1009	CHEMBL258	3729.0		4
CHEMBL101	CHEMBL221	3000.0		4
CHEMBL1014	CHEMBL1697668	724.44	400.0	4
CHEMBL1014	CHEMBL1743121	2454.71	1900.0	4
CHEMBL1017	CHEMBL1697668	1862.09	1030.0	4
CHEMBL1017	CHEMBL1743121	1258.93	960.0	4
CHEMBL1017	CHEMBL227	150.0		4
CHEMBL1017	CHEMBL3397	4780.0		4
CHEMBL1017	CHEMBL3491	540.0	190.0	4
CHEMBL1017	CHEMBL4607	0.33		4
CHEMBL1020	CHEMBL1900	2390.0		4
CHEMBL1020	CHEMBL2157	90.0		4
CHEMBL1020	CHEMBL221	41.0		4
CHEMBL1027	CHEMBL1903	380.19	47.86	4
CHEMBL1029	CHEMBL2748	500.0		4
CHEMBL1029	CHEMBL3761	300.0		4
CHEMBL103	CHEMBL1871	37.0	35.0	4
CHEMBL103	CHEMBL1994	30.0		4
CHEMBL103	CHEMBL2034	1000.0	150.0	4
CHEMBL103	CHEMBL206	1000.0		4
CHEMBL103	CHEMBL2073673	4280.0		4
CHEMBL103	CHEMBL208	10000.0	5.1	4
CHEMBL103	CHEMBL287	3055.0	1284.0	4
CHEMBL103	CHEMBL2998	1600.0		4
CHEMBL103	CHEMBL5685	3050.0		4
CHEMBL1034	CHEMBL221	3.0		4
CHEMBL1034	CHEMBL230	840.0		4
CHEMBL1034	CHEMBL4681	2600.0		4
CHEMBL104	CHEMBL1250402	3000.0		4
CHEMBL104	CHEMBL1821	11756.0	1640.0	4
CHEMBL104	CHEMBL1835	14.0		4
CHEMBL104	CHEMBL1867	11886.0	4457.0	4
CHEMBL104	CHEMBL1940	590.0		4
CHEMBL104	CHEMBL1942	8159.0	3725.0	4
CHEMBL104	CHEMBL1978	1.8		4
CHEMBL104	CHEMBL2034	3258.0	1481.0	4
CHEMBL104	CHEMBL2047	3240.0		4
CHEMBL104	CHEMBL2056	9017.0	4508.0	4
CHEMBL104	CHEMBL216	6869.0	1654.0	4
CHEMBL104	CHEMBL217	12186.0	4062.0	4
CHEMBL104	CHEMBL224	11142.0	3183.0	4
CHEMBL104	CHEMBL228	5760.0	3060.0	4
CHEMBL104	CHEMBL231	29406.0	3416.0	4
CHEMBL104	CHEMBL2327	10150.0	3383.0	4
CHEMBL104	CHEMBL233	1802.0	731.0	4
CHEMBL104	CHEMBL234	2647.0	899.0	4
CHEMBL104	CHEMBL236	4978.0	1755.0	4
CHEMBL104	CHEMBL237	6303.0	2521.0	4
CHEMBL104	CHEMBL238	5581.0	4434.0	4
CHEMBL104	CHEMBL240	3019.95		4
CHEMBL104	CHEMBL2414	1600.0		4
CHEMBL104	CHEMBL245	9928.0	2104.0	4
CHEMBL104	CHEMBL256	4752.0	2686.0	4
CHEMBL104	CHEMBL289	883.0		4
CHEMBL104	CHEMBL3356	1250.0		4
CHEMBL104	CHEMBL3397	136.0		4
CHEMBL104	CHEMBL3721	803.0		4
CHEMBL104	CHEMBL3849	130.0		4
CHEMBL104	CHEMBL4305	360.0		4
CHEMBL104	CHEMBL4523494	800.0		4
CHEMBL104	CHEMBL5503	690.0	100.0	4
CHEMBL1043	CHEMBL2439	420.0		4
CHEMBL1055	CHEMBL205	677.0	138.0	4
CHEMBL1064	CHEMBL3721	3700.0		4
CHEMBL1064	CHEMBL4374	1164.0		4
CHEMBL1069	CHEMBL227	2.7	4700.0	4
CHEMBL107	CHEMBL2147	4300.0		4
CHEMBL1070	CHEMBL1951	998.0		4
CHEMBL1070	CHEMBL222	1868.0	1853.0	4
CHEMBL1070	CHEMBL3356	5000.0		4
CHEMBL1071	CHEMBL221	856.0		4
CHEMBL1071	CHEMBL230	110.0		4
CHEMBL1071	CHEMBL4295747	1949.84		4
CHEMBL1076347	CHEMBL1741208	1490.0		4
CHEMBL1076347	CHEMBL1968	120.0		4
CHEMBL1076347	CHEMBL2409	13.0		4
CHEMBL1077	CHEMBL221	8.481		4
CHEMBL1077	CHEMBL230	4.803		4
CHEMBL1079742	CHEMBL1824	1890.0		4
CHEMBL1079742	CHEMBL203	420.0		4
CHEMBL1082407	CHEMBL1871	100000.0	3641.0	4
CHEMBL1088	CHEMBL240	549.54		4
CHEMBL1089	CHEMBL1951	238.0	163.0	4
CHEMBL1089	CHEMBL2039	143.0	124.0	4
CHEMBL1089	CHEMBL289	1000.0		4
CHEMBL1089	CHEMBL3397	4000.0		4
CHEMBL1089	CHEMBL340	2000.0		4
CHEMBL1089	CHEMBL3437	19.95		4
CHEMBL1089	CHEMBL3622	800.0		4
CHEMBL1090	CHEMBL284	62.0		4
CHEMBL1092	CHEMBL1821	6.7		4
CHEMBL1092	CHEMBL2035	10.3		4
CHEMBL1092	CHEMBL211	18.6		4
CHEMBL1092	CHEMBL216	1.3		4
CHEMBL1092	CHEMBL245	26.3		4
CHEMBL1094636	CHEMBL2429708	3311.31		4
CHEMBL1094636	CHEMBL2429709	794.33		4
CHEMBL1094636	CHEMBL3105	132.0	3.2	4
CHEMBL1094636	CHEMBL5083	1300.0		4
CHEMBL1094636	CHEMBL5366	15.49	4.0	4
CHEMBL1094636	CHEMBL6142	446.68		4
CHEMBL1094636	CHEMBL6164	2355.0		4
CHEMBL1095097	CHEMBL1994	2600.0	125.89	4
CHEMBL1095097	CHEMBL2034	18000.0	3162.28	4
CHEMBL1095777	CHEMBL213	316.23	91.4	4
CHEMBL1096	CHEMBL1743128	2200.0		4
CHEMBL1096	CHEMBL5408	851.14		4
CHEMBL1096979	CHEMBL4523582	140.0		4
CHEMBL11	CHEMBL1743122	600.0		4
CHEMBL11	CHEMBL217	410.0	726.0	4
CHEMBL11	CHEMBL222	74.0	16.0	4
CHEMBL11	CHEMBL224	220.0	160.0	4
CHEMBL11	CHEMBL228	29.0	1300.0	4
CHEMBL11	CHEMBL231	27.0		4
CHEMBL11	CHEMBL240	3400.0		4
CHEMBL11	CHEMBL2760	5000.0		4
CHEMBL110458	CHEMBL2074	1500.0		4
CHEMBL110458	CHEMBL2524	70.0		4
CHEMBL110458	CHEMBL2748	260.0		4
CHEMBL1106	CHEMBL1743122	4300.0		4
CHEMBL1106	CHEMBL1743126	1100.0		4
CHEMBL110691	CHEMBL2034	37.7	17.2	4
CHEMBL110691	CHEMBL3622	3000.0		4
CHEMBL1107	CHEMBL240	199.53	7500.0	4
CHEMBL1108	CHEMBL1821	3849.0	537.0	4
CHEMBL1108	CHEMBL1833	1342.0	854.0	4
CHEMBL1108	CHEMBL1867	2965.0	1112.0	4
CHEMBL1108	CHEMBL1916	1763.0	256.0	4
CHEMBL1108	CHEMBL1942	220.0	101.0	4
CHEMBL1108	CHEMBL2035	2298.0	1651.0	4
CHEMBL1108	CHEMBL2056	1092.0	546.0	4
CHEMBL1108	CHEMBL217	2.407	0.802	4
CHEMBL1108	CHEMBL223	83.0	41.0	4
CHEMBL1108	CHEMBL224	2.584	0.738	4
CHEMBL1108	CHEMBL225	454.0	238.0	4
CHEMBL1108	CHEMBL231	4519.0	525.0	4
CHEMBL1108	CHEMBL234	2.765	0.939	4
CHEMBL1108	CHEMBL240	927.2	759.6	4
CHEMBL1109	CHEMBL3397	318000.0	500.0	4
CHEMBL111	CHEMBL1743128	133000.0	4000.0	4
CHEMBL111	CHEMBL218	158.49	143.0	4
CHEMBL111	CHEMBL240	4800.0		4
CHEMBL111	CHEMBL289	20.0		4
CHEMBL111	CHEMBL3356	20.0		4
CHEMBL111	CHEMBL3397	5.3		4
CHEMBL111	CHEMBL340	20.0		4
CHEMBL1110	CHEMBL1833	100.0	64.0	4
CHEMBL1110	CHEMBL240	3235.94		4
CHEMBL1110	CHEMBL340	600.0		4
CHEMBL1111	CHEMBL1785	1190.0		4
CHEMBL1111	CHEMBL252	21.7		4
CHEMBL1112	CHEMBL217	32.0	8.0	4
CHEMBL1112	CHEMBL224	2790.0	63.0	4
CHEMBL1112	CHEMBL225	1380.0	1000.0	4
CHEMBL1112	CHEMBL229	170.0	100.0	4
CHEMBL1112	CHEMBL231	420.0	100.0	4
CHEMBL1112	CHEMBL240	3860.0	1020.0	4
CHEMBL1112	CHEMBL245	100000.0	1000.0	4
CHEMBL1112	CHEMBL4302	780.0		4
CHEMBL1113	CHEMBL1821	1737.0	242.0	4
CHEMBL1113	CHEMBL1833	10.0	6.569	4
CHEMBL1113	CHEMBL1867	1314.0	493.0	4
CHEMBL1113	CHEMBL1916	3174.0	461.0	4
CHEMBL1113	CHEMBL1942	558.0	255.0	4
CHEMBL1113	CHEMBL2035	856.0	615.0	4
CHEMBL1113	CHEMBL2056	392.0	196.0	4
CHEMBL1113	CHEMBL211	2623.0	933.0	4
CHEMBL1113	CHEMBL216	1192.0	287.0	4
CHEMBL1113	CHEMBL217	200.0	67.0	4
CHEMBL1113	CHEMBL222	13.0	13.0	4
CHEMBL1113	CHEMBL223	306.0	150.0	4
CHEMBL1113	CHEMBL224	1.552	1.77	4
CHEMBL1113	CHEMBL225	3.787	1.984	4
CHEMBL1113	CHEMBL228	34.0	18.0	4
CHEMBL1113	CHEMBL231	99.0	11.0	4
CHEMBL1113	CHEMBL234	134.0	46.0	4
CHEMBL1113	CHEMBL245	1781.0	378.0	4
