droga	label
CHEMBL1006	Drug_Human
CHEMBL1009	Drug_Human
CHEMBL101	Drug_Human
CHEMBL1014	Drug_Human
CHEMBL1017	Drug_Human
CHEMBL1020	Drug_Human
CHEMBL1023	Drug_Human
CHEMBL1027	Drug_Human
CHEMBL1029	Drug_Human
CHEMBL103	Drug_Human
CHEMBL1034	Drug_Human
CHEMBL104	Drug_Human
CHEMBL1043	Drug_Human
CHEMBL1054	Drug_Human
CHEMBL1055	Drug_Human
CHEMBL1064	Drug_Human
CHEMBL1069	Drug_Human
CHEMBL107	Drug_Human
CHEMBL1070	Drug_Human
CHEMBL1071	Drug_Human
CHEMBL1076347	Drug_Human
CHEMBL1077	Drug_Human
CHEMBL1079	Drug_Human
CHEMBL1079742	Drug_Human
CHEMBL1082407	Drug_Human
CHEMBL10878	Drug_Human
CHEMBL1088	Drug_Human
CHEMBL1089	Drug_Human
CHEMBL1089318	Drug_Human
CHEMBL1090	Drug_Human
CHEMBL1091	Drug_Human
CHEMBL1092	Drug_Human
CHEMBL1094636	Drug_Human
CHEMBL1095097	Drug_Human
CHEMBL1095777	Drug_Human
CHEMBL1096	Drug_Human
CHEMBL1096882	Drug_Human
CHEMBL1096979	Drug_Virus
CHEMBL11	Drug_Human
CHEMBL1101	Drug_Human
CHEMBL110458	Drug_Human
CHEMBL1106	Drug_Human
CHEMBL110691	Drug_Human
CHEMBL1107	Drug_Human
CHEMBL1108	Drug_Human
CHEMBL1109	Drug_Human
CHEMBL111	Drug_Human
CHEMBL1110	Drug_Human
CHEMBL1111	Drug_Human
CHEMBL1112	Drug_Human
CHEMBL1113	Drug_Human
CHEMBL1115	Drug_Human
CHEMBL1116	Drug_Human
CHEMBL1118	Drug_Human
CHEMBL112	Drug_Human
CHEMBL1123	Drug_Human
CHEMBL1128	Drug_Human
CHEMBL1134	Drug_Human
CHEMBL1136	Drug_Human
CHEMBL114	Drug_Human
CHEMBL1144	Drug_Human
CHEMBL115	Drug_Human
CHEMBL1159650	Drug_Human
CHEMBL116	Drug_Human
CHEMBL1161	Drug_Human
CHEMBL1162	Drug_Human
CHEMBL1163	Drug_Human
CHEMBL1164729	Drug_Human
CHEMBL1165	Drug_Human
CHEMBL1166	Drug_Human
CHEMBL1168	Drug_Human
CHEMBL1170	Drug_Human
CHEMBL1171837	Drug_Human
CHEMBL1172	Drug_Human
CHEMBL117287	Drug_Human
CHEMBL1173055	Drug_Human
CHEMBL1173655	Drug_Human
CHEMBL1175	Drug_Human
CHEMBL118	Drug_Human
CHEMBL1185	Drug_Human
CHEMBL1186579	Drug_Human
CHEMBL1189679	Drug_Human
CHEMBL119	Drug_Human
CHEMBL1194325	Drug_Human
CHEMBL119443	Drug_Human
CHEMBL1198	Drug_Human
CHEMBL12	Drug_Human
CHEMBL1200322	Drug_Human
CHEMBL1200347	Drug_Human
CHEMBL1200374	Drug_Human
CHEMBL1200396	Drug_Human
CHEMBL1200406	Drug_Human
CHEMBL1200413	Drug_Human
CHEMBL1200418	Drug_Human
CHEMBL1200438	Drug_Human
CHEMBL1200467	Drug_Human
CHEMBL1200474	Drug_Human
CHEMBL1200485	Drug_Human
CHEMBL1200545	Drug_Human
CHEMBL1200596	Drug_Human
CHEMBL1200600	Drug_Human
CHEMBL1200604	Drug_Human
CHEMBL1200624	Drug_Human
CHEMBL1200629	Drug_Human
CHEMBL1200633	Drug_Virus
CHEMBL1200675	Drug_Human
CHEMBL1200681	Drug_Human
CHEMBL1200688	Drug_Human
CHEMBL1200692	Drug_Human
CHEMBL1200701	Drug_Human
CHEMBL1200712	Drug_Human
CHEMBL1200776	Drug_Human
CHEMBL1200781	Drug_Human
CHEMBL1200803	Drug_Human
CHEMBL1200845	Drug_Human
CHEMBL1200883	Drug_Human
CHEMBL1200885	Drug_Human
CHEMBL1200904	Drug_Human
CHEMBL1200930	Drug_Virus
CHEMBL1200963	Drug_Human
CHEMBL1200969	Drug_Human
CHEMBL1200970	Drug_Human
CHEMBL1200986	Drug_Human
CHEMBL1200993	Drug_Human
CHEMBL1201010	Drug_Human
CHEMBL1201012	Drug_Human
CHEMBL1201027	Drug_Human
CHEMBL1201066	Drug_Human
CHEMBL1201073	Drug_Virus
CHEMBL1201082	Drug_Human
CHEMBL1201087	Drug_Human
CHEMBL1201124	Drug_Human
CHEMBL1201129	Drug_Human
CHEMBL1201131	Drug_Human
CHEMBL1201139	Drug_Human
CHEMBL1201142	Drug_Human
CHEMBL1201146	Drug_Human
CHEMBL1201149	Drug_Human
CHEMBL1201151	Drug_Human
CHEMBL1201179	Drug_Human
CHEMBL1201182	Drug_Human
CHEMBL1201187	Drug_Human
CHEMBL1201190	Drug_Human
CHEMBL1201192	Drug_Human
CHEMBL1201193	Drug_Human
CHEMBL1201203	Drug_Human
CHEMBL1201216	Drug_Human
CHEMBL1201217	Drug_Human
CHEMBL1201236	Drug_Virus
CHEMBL1201237	Drug_Human
CHEMBL1201284	Drug_Human
CHEMBL1201288	Drug_Human
CHEMBL1201335	Drug_Human
CHEMBL1201356	Drug_Human
CHEMBL1201729	Drug_Human
CHEMBL1201746	Drug_Human
CHEMBL1201754	Drug_Human
CHEMBL1201863	Drug_Human
CHEMBL1206690	Drug_Human
CHEMBL121	Drug_Human
CHEMBL121626	Drug_Human
CHEMBL121663	Drug_Human
CHEMBL1218	Drug_Human
CHEMBL1219	Drug_Human
CHEMBL122	Drug_Human
CHEMBL1221	Drug_Human
CHEMBL1228	Drug_Human
CHEMBL1229211	Drug_Human
CHEMBL1229517	Drug_Human
CHEMBL1231	Drug_Human
CHEMBL1237	Drug_Human
CHEMBL1237021	Drug_Human
CHEMBL1241	Drug_Human
CHEMBL1254682	Drug_Human
CHEMBL1256696	Drug_Human
CHEMBL1256786	Drug_Human
CHEMBL1257051	Drug_Human
CHEMBL1261	Drug_Human
CHEMBL1262	Drug_Human
CHEMBL1263	Drug_Human
CHEMBL1265	Drug_Human
CHEMBL1269025	Drug_Human
CHEMBL12713	Drug_Human
CHEMBL1272	Drug_Human
CHEMBL1274	Drug_Human
CHEMBL1276308	Drug_Human
CHEMBL1278	Drug_Human
CHEMBL1279	Drug_Human
CHEMBL128	Drug_Human
CHEMBL1280	Drug_Human
CHEMBL1282	Drug_Human
CHEMBL1287853	Drug_Human
CHEMBL1289	Drug_Human
CHEMBL1289494	Drug_Human
CHEMBL1289601	Drug_Human
CHEMBL1289926	Drug_Human
CHEMBL129	Drug_Human
CHEMBL1292	Drug_Human
CHEMBL1293	Drug_Human
CHEMBL1294	Drug_Human
CHEMBL1297	Drug_Human
CHEMBL1303	Drug_Human
CHEMBL1306	Drug_Human
CHEMBL131	Drug_Human
CHEMBL1316	Drug_Human
CHEMBL1319139	DrugHumanVirus
CHEMBL1319362	Drug_Human
CHEMBL1324	Drug_Human
CHEMBL132530	Drug_Human
CHEMBL1328	Drug_Human
CHEMBL1330729	Drug_Human
CHEMBL1334033	Drug_Human
CHEMBL1336	Drug_Human
CHEMBL1337	Drug_Human
CHEMBL1339	Drug_Human
CHEMBL134	Drug_Human
CHEMBL1346	Drug_Human
CHEMBL135	Drug_Human
CHEMBL1358	Drug_Human
