drugs	targets
CHEMBL196	CHEMBL4523582			
CHEMBL313006	CHEMBL4523582			
CHEMBL1366	CHEMBL4523582			
CHEMBL1448	CHEMBL4523582			
CHEMBL1401	CHEMBL4523582			
CHEMBL496	CHEMBL4523582			
CHEMBL939	CHEMBL4523582			
CHEMBL422	CHEMBL4523582			
CHEMBL1200633	CHEMBL4523582			
CHEMBL1319139	CHEMBL1697668			
CHEMBL1319139	CHEMBL1743121			
CHEMBL1319139	CHEMBL4523582			
CHEMBL1319139	CHEMBL5514			
CHEMBL1319139	CHEMBL340			
CHEMBL1319139	CHEMBL1293235			
CHEMBL1319139	CHEMBL1293278			
CHEMBL1319139	CHEMBL1075138			
CHEMBL1475252	CHEMBL4523582	
CHEMBL1475252	CHEMBL4523350	
CHEMBL1475252	CHEMBL4523350	
CHEMBL1475252	CHEMBL4295557	
CHEMBL1475252	CHEMBL6036	
CHEMBL1475252	CHEMBL5172	
CHEMBL404849	CHEMBL4523582			
CHEMBL404849	CHEMBL1795087			
CHEMBL404849	CHEMBL4158			
CHEMBL404849	CHEMBL4040			
CHEMBL404849	CHEMBL1977			
CHEMBL404849	CHEMBL1293232			
CHEMBL404849	CHEMBL1293278			
CHEMBL404849	CHEMBL2457			
CHEMBL404849	CHEMBL4096			
CHEMBL404849	CHEMBL340			
CHEMBL404849	CHEMBL3577			
CHEMBL404849	CHEMBL1075138			
CHEMBL404849	CHEMBL2903			
CHEMBL404849	CHEMBL2760
