target	label
CHEMBL234	Human
CHEMBL1841	Human
CHEMBL258	Human
CHEMBL221	Human
CHEMBL1697668	Human
CHEMBL1743121	Human
CHEMBL227	Human
CHEMBL3397	Human
CHEMBL3491	Human
CHEMBL4607	Human
CHEMBL1900	Human
CHEMBL2157	Human
CHEMBL1903	Human
CHEMBL2748	Human
CHEMBL3761	Human
CHEMBL1871	Human
CHEMBL1994	Human
CHEMBL2034	Human
CHEMBL206	Human
CHEMBL2073673	Human
CHEMBL208	Human
CHEMBL287	Human
CHEMBL2998	Human
CHEMBL5685	Human
CHEMBL230	Human
CHEMBL4681	Human
CHEMBL1250402	Human
CHEMBL1821	Human
CHEMBL1835	Human
CHEMBL1867	Human
CHEMBL1940	Human
CHEMBL1942	Human
CHEMBL1978	Human
CHEMBL2047	Human
CHEMBL2056	Human
CHEMBL216	Human
CHEMBL217	Human
CHEMBL224	Human
CHEMBL228	Human
CHEMBL231	Human
CHEMBL2327	Human
CHEMBL233	Human
CHEMBL236	Human
CHEMBL237	Human
CHEMBL238	Human
CHEMBL240	Human
CHEMBL2414	Human
CHEMBL245	Human
CHEMBL256	Human
CHEMBL289	Human
CHEMBL3356	Human
CHEMBL3721	Human
CHEMBL3849	Human
CHEMBL4305	Human
CHEMBL4523494	Human
CHEMBL5503	Human
CHEMBL2439	Human
CHEMBL205	Human
CHEMBL4374	Human
CHEMBL2147	Human
CHEMBL1951	Human
CHEMBL222	Human
CHEMBL4295747	Human
CHEMBL1741208	Human
CHEMBL1968	Human
CHEMBL2409	Human
CHEMBL1824	Human
CHEMBL203	Human
CHEMBL2039	Human
CHEMBL340	Human
CHEMBL3437	Human
CHEMBL3622	Human
CHEMBL284	Human
CHEMBL2035	Human
CHEMBL211	Human
CHEMBL2429708	Human
CHEMBL2429709	Human
CHEMBL3105	Human
CHEMBL5083	Human
CHEMBL5366	Human
CHEMBL6142	Human
CHEMBL6164	Human
CHEMBL213	Human
CHEMBL1743128	Human
CHEMBL5408	Human
CHEMBL4523582	Coronavirus
CHEMBL1743122	Human
CHEMBL2760	Human
CHEMBL2074	Human
CHEMBL2524	Human
CHEMBL1743126	Human
CHEMBL1833	Human
CHEMBL1916	Human
CHEMBL223	Human
CHEMBL225	Human
CHEMBL218	Human
CHEMBL1785	Human
CHEMBL252	Human
CHEMBL229	Human
CHEMBL4302	Human
CHEMBL3371	Human
CHEMBL242	Human
