,chembl_id,standard_type,standard_value,standard_unit,target_chembl_id
0,CHEMBL100259,IC50,52000.0,nM,CHEMBL1997
1,CHEMBL100259,IC50,5800.0,nM,CHEMBL5551
2,CHEMBL100259,IC50,5400.0,nM,CHEMBL5707
3,CHEMBL100259,IC50,32000.0,nM,CHEMBL5780
4,CHEMBL100259,IC50,234000.0,nM,CHEMBL3509606
5,CHEMBL1003,IC50,1000000.0,nM,CHEMBL6020
6,CHEMBL1003,IC50,133000.0,nM,CHEMBL6020
7,CHEMBL1006,IC50,1929.0,nM,CHEMBL234
8,CHEMBL1009,IC50,900000.0,nM,CHEMBL203
9,CHEMBL1009,IC50,133000.0,nM,CHEMBL5748
10,CHEMBL1009,IC50,141200000.0,nM,CHEMBL4605
11,CHEMBL1009,IC50,8400000.0,nM,CHEMBL1973
12,CHEMBL1009,IC50,100000.0,nM,CHEMBL4459
13,CHEMBL1009,IC50,133000.0,nM,CHEMBL5918
14,CHEMBL1009,IC50,2880.0,nM,CHEMBL203
15,CHEMBL1009,IC50,3729.0,nM,CHEMBL258
16,CHEMBL1009,IC50,133000.0,nM,CHEMBL1743128
17,CHEMBL1009,IC50,133000.0,nM,CHEMBL6020
18,CHEMBL1009,IC50,2146.0,nM,CHEMBL1841
19,CHEMBL1010,IC50,24000.0,nM,CHEMBL1743128
20,CHEMBL1010,IC50,133000.0,nM,CHEMBL6020
21,CHEMBL1010,IC50,133000.0,nM,CHEMBL5748
22,CHEMBL1010,IC50,133000.0,nM,CHEMBL5918
23,CHEMBL101253,IC50,140.0,nM,CHEMBL1868
24,CHEMBL101253,IC50,198.3,nM,CHEMBL279
25,CHEMBL101253,IC50,6308.1,nM,CHEMBL279
26,CHEMBL101253,IC50,100.0,nM,CHEMBL279
27,CHEMBL101253,IC50,77.0,nM,CHEMBL1868
28,CHEMBL101253,IC50,140.0,nM,CHEMBL1868
29,CHEMBL101253,IC50,10.0,nM,CHEMBL279
30,CHEMBL101253,IC50,16.0,nM,CHEMBL279
31,CHEMBL101253,IC50,37.0,nM,CHEMBL279
32,CHEMBL101253,IC50,21.0,nM,CHEMBL279
33,CHEMBL101253,IC50,138.0,nM,CHEMBL279
34,CHEMBL101253,IC50,110.0,nM,CHEMBL1868
35,CHEMBL101253,IC50,10000.0,nM,CHEMBL203
36,CHEMBL101253,IC50,10000.0,nM,CHEMBL267
37,CHEMBL101253,IC50,21.0,nM,CHEMBL279
38,CHEMBL101253,IC50,140.0,nM,CHEMBL279
39,CHEMBL101253,IC50,54.0,nM,CHEMBL279
40,CHEMBL101253,IC50,140.0,nM,CHEMBL1868
41,CHEMBL101253,IC50,54.0,nM,CHEMBL279
42,CHEMBL101253,IC50,63.0,nM,CHEMBL279
43,CHEMBL101253,IC50,15.0,nM,CHEMBL279
44,CHEMBL101253,IC50,195.0,nM,CHEMBL1955
45,CHEMBL101253,IC50,54.0,nM,CHEMBL279
46,CHEMBL101253,IC50,42.0,nM,CHEMBL279
47,CHEMBL101253,IC50,100.0,nM,CHEMBL1868
48,CHEMBL101253,IC50,730.0,nM,CHEMBL1936
49,CHEMBL101253,IC50,43.0,nM,CHEMBL279
50,CHEMBL101253,IC50,20.0,nM,CHEMBL279
51,CHEMBL101253,IC50,16.0,nM,CHEMBL279
52,CHEMBL101253,IC50,21.0,nM,CHEMBL279
53,CHEMBL101253,IC50,140.0,nM,CHEMBL1868
54,CHEMBL101253,IC50,457.7,nM,CHEMBL203
55,CHEMBL101253,IC50,54.0,nM,CHEMBL279
56,CHEMBL101253,IC50,110.0,nM,CHEMBL1868
57,CHEMBL101253,IC50,10000.0,nM,CHEMBL6020
58,CHEMBL101253,IC50,42.0,nM,CHEMBL279
59,CHEMBL101253,IC50,160.0,nM,CHEMBL279
60,CHEMBL101253,IC50,42.0,nM,CHEMBL279
61,CHEMBL101253,IC50,54.0,nM,CHEMBL279
62,CHEMBL101253,IC50,21.0,nM,CHEMBL279
63,CHEMBL101253,IC50,37.0,nM,CHEMBL279
64,CHEMBL101253,IC50,10000.0,nM,CHEMBL308
65,CHEMBL101253,IC50,10000.0,nM,CHEMBL1957
66,CHEMBL101253,IC50,54.0,nM,CHEMBL279
67,CHEMBL101253,IC50,380.0,nM,CHEMBL1868
68,CHEMBL101253,IC50,43.0,nM,CHEMBL279
69,CHEMBL101253,IC50,6754.0,nM,CHEMBL279
70,CHEMBL101253,IC50,10000.0,nM,CHEMBL203
71,CHEMBL101253,IC50,110.0,nM,CHEMBL1868
72,CHEMBL101253,IC50,21.0,nM,CHEMBL279
73,CHEMBL101253,IC50,21.0,nM,CHEMBL279
74,CHEMBL101253,IC50,180.0,nM,CHEMBL279
75,CHEMBL101253,IC50,490.0,nM,CHEMBL1913
76,CHEMBL101253,IC50,54.0,nM,CHEMBL1868
77,CHEMBL101253,IC50,10000.0,nM,CHEMBL3717
78,CHEMBL101253,IC50,140.0,nM,CHEMBL1868
79,CHEMBL101253,IC50,140.0,nM,CHEMBL1868
80,CHEMBL101253,IC50,43.0,nM,CHEMBL279
81,CHEMBL1014,IC50,6200.0,nM,CHEMBL5391
82,CHEMBL1014,IC50,724.44,nM,CHEMBL1697668
83,CHEMBL1014,IC50,9200.0,nM,CHEMBL5365
84,CHEMBL1014,IC50,5600.0,nM,CHEMBL5365
85,CHEMBL1014,IC50,11200.0,nM,CHEMBL5542
86,CHEMBL1014,IC50,2454.71,nM,CHEMBL1743121
87,CHEMBL1016,IC50,3276.9,nM,CHEMBL203
88,CHEMBL1016,IC50,9000.0,nM,CHEMBL340
89,CHEMBL1016,IC50,110.0,nM,CHEMBL227
90,CHEMBL1016,IC50,1219.9,nM,CHEMBL256
91,CHEMBL1016,IC50,10.72,nM,CHEMBL227
92,CHEMBL1016,IC50,100000.0,nM,CHEMBL4295835
93,CHEMBL1016,IC50,3843.0,nM,CHEMBL1942
94,CHEMBL1016,IC50,3000.0,nM,CHEMBL3397
95,CHEMBL1016,IC50,3059.4,nM,CHEMBL1835
96,CHEMBL1016,IC50,3065.2,nM,CHEMBL222
97,CHEMBL1016,IC50,5947.2,nM,CHEMBL1824
98,CHEMBL1016,IC50,4300.0,nM,CHEMBL246
99,CHEMBL1016,IC50,0.69,nM,CHEMBL227
100,CHEMBL1017,IC50,10000.0,nM,CHEMBL3979
101,CHEMBL1017,IC50,150.0,nM,CHEMBL227
102,CHEMBL1017,IC50,16200.0,nM,CHEMBL6020
103,CHEMBL1017,IC50,60000.0,nM,CHEMBL5918
104,CHEMBL1017,IC50,3.0,nM,CHEMBL227
105,CHEMBL1017,IC50,17900.0,nM,CHEMBL1743126
106,CHEMBL1017,IC50,4780.0,nM,CHEMBL3397
