,chembl_id,standard_type,standard_value,standard_unit,target_chembl_id
0,CHEMBL100259,Ki,51000.0,nM,CHEMBL1997
1,CHEMBL100259,Ki,0.0012,nM,CHEMBL4502
2,CHEMBL100259,Ki,31000.0,nM,CHEMBL5780
3,CHEMBL100259,Ki,5200.0,nM,CHEMBL5551
4,CHEMBL100259,Ki,242000.0,nM,CHEMBL3509606
5,CHEMBL100259,Ki,3400.0,nM,CHEMBL5707
6,CHEMBL1002,Ki,4677.0,nM,CHEMBL210
7,CHEMBL1002,Ki,5623.41,nM,CHEMBL210
8,CHEMBL1002,Ki,3801.89,nM,CHEMBL210
9,CHEMBL1002,Ki,5623.0,nM,CHEMBL210
10,CHEMBL1002,Ki,3802.0,nM,CHEMBL210
11,CHEMBL1002,Ki,4677.35,nM,CHEMBL210
12,CHEMBL1006,Ki,655.0,nM,CHEMBL234
13,CHEMBL101253,Ki,7943.28,nM,CHEMBL3024
14,CHEMBL101253,Ki,6309.57,nM,CHEMBL2426
15,CHEMBL101253,Ki,7943.28,nM,CHEMBL2828
16,CHEMBL101253,Ki,1000.0,nM,CHEMBL1844
17,CHEMBL101253,Ki,3162.28,nM,CHEMBL1991
18,CHEMBL101253,Ki,10000.0,nM,CHEMBL4204
19,CHEMBL101253,Ki,1584.89,nM,CHEMBL6003
20,CHEMBL101253,Ki,3981.07,nM,CHEMBL3476
21,CHEMBL101253,Ki,7943.28,nM,CHEMBL4282
22,CHEMBL101253,Ki,3981.07,nM,CHEMBL3650
23,CHEMBL101253,Ki,2511.89,nM,CHEMBL5627
24,CHEMBL101253,Ki,7943.28,nM,CHEMBL5261
25,CHEMBL101253,Ki,1584.89,nM,CHEMBL3116
26,CHEMBL101253,Ki,6309.57,nM,CHEMBL3829
27,CHEMBL101253,Ki,7943.28,nM,CHEMBL3438
28,CHEMBL101253,Ki,1995.26,nM,CHEMBL5719
29,CHEMBL101253,Ki,2511.89,nM,CHEMBL1075104
30,CHEMBL101253,Ki,6309.57,nM,CHEMBL2493
31,CHEMBL101253,Ki,3981.07,nM,CHEMBL2345
32,CHEMBL101253,Ki,2511.89,nM,CHEMBL5818
33,CHEMBL101253,Ki,3981.07,nM,CHEMBL2973
34,CHEMBL101253,Ki,7943.28,nM,CHEMBL2939
35,CHEMBL101253,Ki,3981.07,nM,CHEMBL2276
36,CHEMBL101253,Ki,3981.07,nM,CHEMBL3788
37,CHEMBL101253,Ki,3981.07,nM,CHEMBL3055
38,CHEMBL101253,Ki,7943.28,nM,CHEMBL4040
39,CHEMBL101253,Ki,2511.89,nM,CHEMBL5073
40,CHEMBL101253,Ki,316.23,nM,CHEMBL1955
41,CHEMBL101253,Ki,2511.89,nM,CHEMBL4601
42,CHEMBL101253,Ki,5011.87,nM,CHEMBL258
43,CHEMBL101253,Ki,3981.07,nM,CHEMBL4179
44,CHEMBL101253,Ki,2511.89,nM,CHEMBL3920
45,CHEMBL101253,Ki,3162.28,nM,CHEMBL2292
46,CHEMBL101253,Ki,3162.28,nM,CHEMBL2468
47,CHEMBL101253,Ki,1995.26,nM,CHEMBL1957
48,CHEMBL101253,Ki,3981.07,nM,CHEMBL4247
49,CHEMBL101253,Ki,5011.87,nM,CHEMBL2527
50,CHEMBL101253,Ki,10000.0,nM,CHEMBL3778
51,CHEMBL101253,Ki,1995.26,nM,CHEMBL3553
52,CHEMBL101253,Ki,1995.26,nM,CHEMBL5568
53,CHEMBL101253,Ki,7943.28,nM,CHEMBL308
54,CHEMBL101253,Ki,3162.28,nM,CHEMBL1841
55,CHEMBL101253,Ki,6309.57,nM,CHEMBL4036
56,CHEMBL101253,Ki,79.43,nM,CHEMBL1913
57,CHEMBL101253,Ki,10000.0,nM,CHEMBL4202
58,CHEMBL101253,Ki,6309.57,nM,CHEMBL2595
59,CHEMBL101253,Ki,6309.57,nM,CHEMBL4852
60,CHEMBL101253,Ki,1584.89,nM,CHEMBL4523
61,CHEMBL101253,Ki,7943.28,nM,CHEMBL5407
62,CHEMBL101253,Ki,3981.07,nM,CHEMBL5026
63,CHEMBL101253,Ki,2511.89,nM,CHEMBL2041
64,CHEMBL101253,Ki,10000.0,nM,CHEMBL5794
65,CHEMBL101253,Ki,1584.89,nM,CHEMBL2599
66,CHEMBL101253,Ki,5011.87,nM,CHEMBL4225
67,CHEMBL101253,Ki,10000.0,nM,CHEMBL5683
68,CHEMBL101253,Ki,1995.26,nM,CHEMBL2742
69,CHEMBL101253,Ki,3981.07,nM,CHEMBL4898
70,CHEMBL101253,Ki,10000.0,nM,CHEMBL4600
71,CHEMBL101253,Ki,6309.57,nM,CHEMBL5819
72,CHEMBL101253,Ki,7943.28,nM,CHEMBL4121
73,CHEMBL101253,Ki,3981.07,nM,CHEMBL260
74,CHEMBL101253,Ki,1258.93,nM,CHEMBL5543
75,CHEMBL101253,Ki,6309.57,nM,CHEMBL4630
76,CHEMBL101253,Ki,1995.26,nM,CHEMBL4237
77,CHEMBL101253,Ki,3981.07,nM,CHEMBL4599
78,CHEMBL101253,Ki,7943.28,nM,CHEMBL301
79,CHEMBL101253,Ki,1584.89,nM,CHEMBL2250
80,CHEMBL101253,Ki,5011.87,nM,CHEMBL267
81,CHEMBL101253,Ki,3981.07,nM,CHEMBL2534
82,CHEMBL101253,Ki,1584.89,nM,CHEMBL3982
83,CHEMBL101253,Ki,2511.89,nM,CHEMBL4722
84,CHEMBL101253,Ki,1584.89,nM,CHEMBL5703
85,CHEMBL101253,Ki,1584.89,nM,CHEMBL2959
86,CHEMBL101253,Ki,6309.57,nM,CHEMBL2147
87,CHEMBL101253,Ki,10000.0,nM,CHEMBL4670
88,CHEMBL101253,Ki,10000.0,nM,CHEMBL4516
89,CHEMBL101253,Ki,1995.26,nM,CHEMBL2971
90,CHEMBL101253,Ki,3981.07,nM,CHEMBL2695
91,CHEMBL101253,Ki,5011.87,nM,CHEMBL1981
92,CHEMBL101253,Ki,7943.28,nM,CHEMBL5518
93,CHEMBL101253,Ki,3981.07,nM,CHEMBL5678
94,CHEMBL101253,Ki,6309.57,nM,CHEMBL3629
95,CHEMBL101253,Ki,5011.87,nM,CHEMBL2850
96,CHEMBL101253,Ki,6309.57,nM,CHEMBL4575
97,CHEMBL101253,Ki,6309.57,nM,CHEMBL5600
98,CHEMBL101253,Ki,3981.07,nM,CHEMBL2964
99,CHEMBL101253,Ki,1995.26,nM,CHEMBL4895
100,CHEMBL101253,Ki,12.59,nM,CHEMBL279
101,CHEMBL101253,Ki,7943.28,nM,CHEMBL3886
102,CHEMBL101253,Ki,3162.28,nM,CHEMBL3529
103,CHEMBL101253,Ki,3162.28,nM,CHEMBL4501
104,CHEMBL101253,Ki,1995.26,nM,CHEMBL4273
105,CHEMBL101253,Ki,7943.28,nM,CHEMBL2431
106,CHEMBL101253,Ki,3981.07,nM,CHEMBL262
107,CHEMBL101253,Ki,7943.28,nM,CHEMBL3357
108,CHEMBL101253,Ki,7943.28,nM,CHEMBL3032
109,CHEMBL101253,Ki,7943.28,nM,CHEMBL2208
110,CHEMBL101253,Ki,7943.28,nM,CHEMBL2543
111,CHEMBL101253,Ki,10000.0,nM,CHEMBL4896
112,CHEMBL101253,Ki,6309.57,nM,CHEMBL4708
113,CHEMBL101253,Ki,3981.07,nM,CHEMBL5251
114,CHEMBL101253,Ki,5011.87,nM,CHEMBL4482
115,CHEMBL101253,Ki,7943.28,nM,CHEMBL2068
116,CHEMBL101253,Ki,1995.26,nM,CHEMBL3587
117,CHEMBL101253,Ki,7943.28,nM,CHEMBL1075167
118,CHEMBL101253,Ki,7943.28,nM,CHEMBL3831
119,CHEMBL101253,Ki,6309.57,nM,CHEMBL3231
120,CHEMBL101253,Ki,3162.28,nM,CHEMBL4576
121,CHEMBL101253,Ki,5011.87,nM,CHEMBL2793
122,CHEMBL101253,Ki,2511.89,nM,CHEMBL3717
123,CHEMBL101253,Ki,7943.28,nM,CHEMBL2996
124,CHEMBL101253,Ki,3981.07,nM,CHEMBL5903
125,CHEMBL101253,Ki,3162.28,nM,CHEMBL5408
126,CHEMBL101253,Ki,158.49,nM,CHEMBL1868
127,CHEMBL101253,Ki,10000.0,nM,CHEMBL4816
128,CHEMBL101253,Ki,3981.07,nM,CHEMBL3009
129,CHEMBL101253,Ki,3981.07,nM,CHEMBL4525
130,CHEMBL101253,Ki,1258.93,nM,CHEMBL2007
131,CHEMBL101253,Ki,3162.28,nM,CHEMBL4101
132,CHEMBL101253,Ki,1995.26,nM,CHEMBL5455
133,CHEMBL101253,Ki,5011.87,nM,CHEMBL5330
134,CHEMBL101253,Ki,1584.89,nM,CHEMBL5469
135,CHEMBL101253,Ki,7943.28,nM,CHEMBL1075115
136,CHEMBL101253,Ki,7943.28,nM,CHEMBL2938
137,CHEMBL101253,Ki,1258.93,nM,CHEMBL5443
138,CHEMBL101253,Ki,6309.57,nM,CHEMBL3836
139,CHEMBL101253,Ki,1995.26,nM,CHEMBL4175
140,CHEMBL101253,Ki,5011.87,nM,CHEMBL4045
141,CHEMBL101253,Ki,6309.57,nM,CHEMBL3835
142,CHEMBL101253,Ki,2511.89,nM,CHEMBL5314
143,CHEMBL101253,Ki,1584.89,nM,CHEMBL4578
144,CHEMBL101253,Ki,5011.87,nM,CHEMBL6166
145,CHEMBL101253,Ki,1995.26,nM,CHEMBL203
146,CHEMBL101253,Ki,3981.07,nM,CHEMBL2689
147,CHEMBL101253,Ki,3981.07,nM,CHEMBL2148
148,CHEMBL101253,Ki,1584.89,nM,CHEMBL1862
149,CHEMBL101253,Ki,3981.07,nM,CHEMBL4203
150,CHEMBL101253,Ki,6309.57,nM,CHEMBL5084
151,CHEMBL101253,Ki,1584.89,nM,CHEMBL3905
152,CHEMBL101253,Ki,6309.57,nM,CHEMBL4674
153,CHEMBL101253,Ki,2511.89,nM,CHEMBL2815
154,CHEMBL101253,Ki,1584.89,nM,CHEMBL3094
155,CHEMBL101253,Ki,10000.0,nM,CHEMBL5650
156,CHEMBL101253,Ki,7943.28,nM,CHEMBL4375
157,CHEMBL101253,Ki,2511.89,nM,CHEMBL5608
158,CHEMBL101253,Ki,1584.89,nM,CHEMBL6014
159,CHEMBL101253,Ki,10000.0,nM,CHEMBL4900
160,CHEMBL101253,Ki,39.81,nM,CHEMBL1936
161,CHEMBL101253,Ki,316.23,nM,CHEMBL4223
162,CHEMBL101253,Ki,2511.89,nM,CHEMBL1974
163,CHEMBL101253,Ki,3162.28,nM,CHEMBL2185
164,CHEMBL101253,Ki,6309.57,nM,CHEMBL2801
165,CHEMBL101253,Ki,6309.57,nM,CHEMBL4147
166,CHEMBL101253,Ki,7943.28,nM,CHEMBL4897
167,CHEMBL101253,Ki,1584.89,nM,CHEMBL1824
168,CHEMBL101253,Ki,5011.87,nM,CHEMBL2349
169,CHEMBL101253,Ki,1584.89,nM,CHEMBL2896
170,CHEMBL1014,Ki,400.0,nM,CHEMBL1697668
171,CHEMBL1014,Ki,1900.0,nM,CHEMBL1743121
172,CHEMBL1016,Ki,3039.8,nM,CHEMBL222
173,CHEMBL1016,Ki,10.4,nM,CHEMBL227
174,CHEMBL1016,Ki,3.5,nM,CHEMBL227
175,CHEMBL1016,Ki,10000.0,nM,CHEMBL4607
176,CHEMBL1016,Ki,3200.0,nM,CHEMBL246
177,CHEMBL1016,Ki,689.5,nM,CHEMBL256
178,CHEMBL1016,Ki,1754.4,nM,CHEMBL1942
179,CHEMBL1017,Ki,960.0,nM,CHEMBL1743121
180,CHEMBL1017,Ki,100.0,nM,CHEMBL3491
181,CHEMBL1017,Ki,1030.0,nM,CHEMBL1697668
182,CHEMBL1017,Ki,190.0,nM,CHEMBL3491
183,CHEMBL1017,Ki,6000.0,nM,CHEMBL1808
184,CHEMBL10188,Ki,122.0,nM,CHEMBL4429
185,CHEMBL10188,Ki,10.6,nM,CHEMBL4429
186,CHEMBL10188,Ki,12589.25,nM,CHEMBL249
187,CHEMBL10188,Ki,3981.07,nM,CHEMBL2327
188,CHEMBL10188,Ki,254.0,nM,CHEMBL4429
189,CHEMBL10188,Ki,1860.0,nM,CHEMBL233
190,CHEMBL10188,Ki,100000.0,nM,CHEMBL249
191,CHEMBL10188,Ki,1.4,nM,CHEMBL4429
192,CHEMBL10188,Ki,1.0,nM,CHEMBL4429
193,CHEMBL10188,Ki,7.4,nM,CHEMBL4429
194,CHEMBL10188,Ki,10000.0,nM,CHEMBL249
195,CHEMBL10188,Ki,10000.0,nM,CHEMBL249
196,CHEMBL10188,Ki,144.0,nM,CHEMBL2327
197,CHEMBL10188,Ki,1.7,nM,CHEMBL4429
198,CHEMBL10188,Ki,10000.0,nM,CHEMBL249
199,CHEMBL10188,Ki,3.0,nM,CHEMBL4429
200,CHEMBL10188,Ki,37.2,nM,CHEMBL4429
201,CHEMBL10188,Ki,144.0,nM,CHEMBL2327
202,CHEMBL10188,Ki,1.995,nM,CHEMBL4429
203,CHEMBL10188,Ki,10000.0,nM,CHEMBL2327
204,CHEMBL10188,Ki,3.7,nM,CHEMBL4429
205,CHEMBL10188,Ki,3700.0,nM,CHEMBL2327
206,CHEMBL10188,Ki,3.6,nM,CHEMBL4429
207,CHEMBL10188,Ki,7.943,nM,CHEMBL4429
208,CHEMBL101,Ki,5300.0,nM,CHEMBL3359
